yourlist:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	isomap:M20200824A94466D2655679D1FD8953E075198DA850AEF1W	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
XP_015920399.1		A0A2L2XWX6	A0A2L2XWX6_PARTP	unreviewed	Importin-7		Parasteatoda tepidariorum (House spider) (Achaearanea tepidariorum)	1041	nucleus [GO:0005634]; Ran GTPase binding [GO:0008536]; intracellular protein transport [GO:0006886]	GO:0005634; GO:0006886; GO:0008536	K20223;
XP_018100646.1		A0A1L8HGE0	A0A1L8HGE0_XENLA	unreviewed	TRASH domain-containing protein	rpl24.L rpl24 XELAEV_18012819mg	Xenopus laevis (African clawed frog)	155			
XP_017275497.1		A0A3Q2ZCH8	A0A3Q2ZCH8_KRYMA	unreviewed	40S ribosomal protein S25		Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)	123	ribosome [GO:0005840]	GO:0005840	K02975;
XP_002594727.1		C3Z9P2	C3Z9P2_BRAFL	unreviewed	Component 3 of promoter of RISC (Translin)	BRAFLDRAFT_114633	Branchiostoma floridae (Florida lancelet) (Amphioxus)	235	nucleus [GO:0005634]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]	GO:0003697; GO:0003723; GO:0004521; GO:0005634; GO:0043565	
NP_001072374.1		Q0IIY3	Q0IIY3_XENTR	unreviewed	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)	cdipt MGC146667 XENTR_v90027169mg	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	218	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity [GO:0003881]; brain development [GO:0007420]; camera-type eye photoreceptor cell differentiation [GO:0060219]; endoplasmic reticulum tubular network maintenance [GO:0071788]; intestinal epithelial structure maintenance [GO:0060729]; lens development in camera-type eye [GO:0002088]; liver morphogenesis [GO:0072576]; phosphatidylinositol biosynthetic process [GO:0006661]; response to endoplasmic reticulum stress [GO:0034976]; retina layer formation [GO:0010842]	GO:0002088; GO:0003881; GO:0005794; GO:0006661; GO:0007420; GO:0010842; GO:0016021; GO:0034976; GO:0060219; GO:0060729; GO:0071788; GO:0072576	K00999;
XP_002606235.1		C3YB88	C3YB88_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_123716	Branchiostoma floridae (Florida lancelet) (Amphioxus)	202	integral component of membrane [GO:0016021]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; phospholipid biosynthetic process [GO:0008654]	GO:0008654; GO:0016021; GO:0016780	K00999;
XP_789452.2		W4YT39	W4YT39_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	298	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; mitochondrial ribosome binding [GO:0097177]; mRNA binding [GO:0003729]; translation activator activity [GO:0008494]; positive regulation of mitochondrial translation [GO:0070131]	GO:0003729; GO:0005739; GO:0005759; GO:0008494; GO:0070131; GO:0097177	K15414;
XP_001642134.1		A7RFB9	A7RFB9_NEMVE	unreviewed	N-acetylglucosaminylphosphatidylinositol deacetylase (EC 3.5.1.89)	v1g157870	Nematostella vectensis (Starlet sea anemone)	260	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; N-acetylglucosaminylphosphatidylinositol deacetylase activity [GO:0000225]; GPI anchor biosynthetic process [GO:0006506]	GO:0000225; GO:0005783; GO:0006506; GO:0016021; GO:0016811	
NP_001093285.1		Q1HPH7	Q1HPH7_BOMMO	unreviewed	GA18592-PA	100101187	Bombyx mori (Silk moth)	144			K22758;
XP_002605851.1		C3YCR0	C3YCR0_BRAFL	unreviewed	Aminoacyl-tRNA hydrolase (EC 3.1.1.29)	BRAFLDRAFT_115286	Branchiostoma floridae (Florida lancelet) (Amphioxus)	165	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]; aminoacyl-tRNA hydrolase activity [GO:0004045]; negative regulation of anoikis [GO:2000811]; positive regulation of anoikis [GO:2000210]	GO:0004045; GO:0005739; GO:0005829; GO:0016021; GO:2000210; GO:2000811	K04794;
XP_005993967.1		H3B5N4	H3B5N4_LATCH	unreviewed	Palmitoyl-protein hydrolase 1 (EC 3.1.2.22) (Palmitoyl-protein thioesterase 1)	PPT1	Latimeria chalumnae (Coelacanth)	303	palmitoyl-(protein) hydrolase activity [GO:0008474]; protein depalmitoylation [GO:0002084]	GO:0002084; GO:0008474	K01074;
XP_013884962.1		A0A2I4CY89	A0A2I4CY89_9TELE	unreviewed	uncharacterized protein LOC106533268	LOC106533268	Austrofundulus limnaeus	337			
XP_017345953.1		W5UR51	W5UR51_ICTPU	unreviewed	ubiquitin conjugation factor E4 A	UBE4A ube4a	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	1076	ubiquitin ligase complex [GO:0000151]; ubiquitin-ubiquitin ligase activity [GO:0034450]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0006511; GO:0034450	K10596;
NP_742116.1		Q9CQ19	MYL9_MOUSE	reviewed	Myosin regulatory light polypeptide 9 (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9)	Myl9 Myrl2	Mus musculus (Mouse)	172	myosin II complex [GO:0016460]; stress fiber [GO:0001725]; Z disc [GO:0030018]; calcium ion binding [GO:0005509]; myosin heavy chain binding [GO:0032036]	GO:0001725; GO:0005509; GO:0016460; GO:0030018; GO:0032036	K12755;
XP_005058828.1		U3JTS1	U3JTS1_FICAL	unreviewed	Ubiquitin-like domain-containing protein	TBCEL	Ficedula albicollis (Collared flycatcher) (Muscicapa albicollis)	424			K22449;
XP_001623503.1		A7SY18	A7SY18_NEMVE	unreviewed	Predicted protein	v1g227597	Nematostella vectensis (Starlet sea anemone)	288	chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; spindle midzone [GO:0051233]; mitotic sister chromatid segregation [GO:0000070]	GO:0000070; GO:0000775; GO:0032133; GO:0051233	
XP_002598322.1		C3YZR3	C3YZR3_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_69676	Branchiostoma floridae (Florida lancelet) (Amphioxus)	239	Fanconi anaemia nuclear complex [GO:0043240]; cellular response to DNA damage stimulus [GO:0006974]; interstrand cross-link repair [GO:0036297]	GO:0006974; GO:0036297; GO:0043240	K10893;
XP_001626263.1		A7SQ65	A7SQ65_NEMVE	unreviewed	Profilin	v1g246711	Nematostella vectensis (Starlet sea anemone)	140	cell cortex [GO:0005938]; actin monomer binding [GO:0003785]; sequestering of actin monomers [GO:0042989]	GO:0003785; GO:0005938; GO:0042989	
NP_998273.1		Q7ZTY3	Q7ZTY3_DANRE	unreviewed	Zinc finger protein 259	zpr1 znf259	Danio rerio (Zebrafish) (Brachydanio rerio)	441	cytoplasm [GO:0005737]; nucleus [GO:0005634]; zinc ion binding [GO:0008270]	GO:0005634; GO:0005737; GO:0008270	K06874;
XP_013406303.1		A0A1S3J7L9	A0A1S3J7L9_LINUN	unreviewed	thioredoxin domain-containing protein 16-like	LOC106170855	Lingula unguis	873			
XP_002599290.1		C3YWQ8	C3YWQ8_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_64352	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1620			
XP_002603652.1		C3YJ01	C3YJ01_BRAFL	unreviewed	CXC domain-containing protein	BRAFLDRAFT_98594	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1607			
XP_011404272.1		A0A1X7URL9	A0A1X7URL9_AMPQE	unreviewed	Uncharacterized protein	105312940	Amphimedon queenslandica (Sponge)	294			
XP_019855512.1		A0A1X7U919	A0A1X7U919_AMPQE	unreviewed	Uncharacterized protein	109584273	Amphimedon queenslandica (Sponge)	487			
XP_001633544.1		A7S4A1	A7S4A1_NEMVE	unreviewed	Predicted protein	v1g242754	Nematostella vectensis (Starlet sea anemone)	675	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634	
XP_002595296.1		C3Z7Z4	C3Z7Z4_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_128105	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1434			
XP_001641384.1		A7RHB9	A7RHB9_NEMVE	unreviewed	Predicted protein	v1g197150	Nematostella vectensis (Starlet sea anemone)	119	extracellular region [GO:0005576]; enzyme activator activity [GO:0008047]; digestion [GO:0007586]; lipid catabolic process [GO:0016042]	GO:0005576; GO:0007586; GO:0008047; GO:0016042	
XP_013391211.1		A0A1S3I060	A0A1S3I060_LINUN	unreviewed	uncharacterized protein LOC106159469	LOC106159469	Lingula unguis	496			
XP_009054528.1		V4AD55	V4AD55_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_161038	Lottia gigantea (Giant owl limpet)	333			
XP_006003870.1		H3AGV7	H3AGV7_LATCH	unreviewed	PLCXc domain-containing protein	LOC102353481	Latimeria chalumnae (Coelacanth)	306	phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0008081	K01771;
XP_015768604.1		A0A1V0CMH6	A0A1V0CMH6_ACRDI	unreviewed	Skeletal aspartic acid-rich protein 1		Acropora digitifera (Staghorn coral)	384			
XP_015765721.1		A0A0A8K9Y4	A0A0A8K9Y4_ACRDI	unreviewed	Diencephalon/mesencephalon homeobox D protein	AdiDmbxD	Acropora digitifera (Staghorn coral)	223	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0043565	
XP_002596700.1		C3Z499	C3Z499_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_78402	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1170			
XP_001638468.1		A7RPZ5	A7RPZ5_NEMVE	unreviewed	DNA helicase (EC 3.6.4.12)	v1g200367	Nematostella vectensis (Starlet sea anemone)	556	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; four-way junction helicase activity [GO:0009378]; nucleic acid binding [GO:0003676]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via homologous recombination [GO:0000724]	GO:0000724; GO:0003676; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006268; GO:0006281; GO:0006310; GO:0009378; GO:0032508; GO:0043138	
XP_015769231.1		A0A0A8K9Z6	A0A0A8K9Z6_ACRDI	unreviewed	Cer/NST-like 1 protein	AdiCer NST-like 1	Acropora digitifera (Staghorn coral)	285	extracellular region [GO:0005576]	GO:0005576	
XP_017318286.1		A0A2D0QKN9	A0A2D0QKN9_ICTPU	unreviewed	DNA-directed DNA polymerase (EC 2.7.7.7)	LOC108262191	Ictalurus punctatus (Channel catfish) (Silurus punctatus)	1042	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; DNA replication [GO:0006260]	GO:0000166; GO:0003677; GO:0003887; GO:0006260	
XP_004997448.1		F2U0F9	F2U0F9_SALR5	unreviewed	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	PTSG_01472	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	164	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]	GO:0003755; GO:0006457	K09565;
XP_013380543.1		A0A1S3H3F9	A0A1S3H3F9_LINUN	unreviewed	uncharacterized protein LOC106151709	LOC106151709	Lingula unguis	423			
XP_015753680.1		A0A0A8K9Y2	A0A0A8K9Y2_ACRDI	unreviewed	Goosecoid protein (Fragment)	AdiGsc	Acropora digitifera (Staghorn coral)	210	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0043565	K09324;
XP_009049734.1		V4CCF3	V4CCF3_LOTGI	unreviewed	J domain-containing protein	LOTGIDRAFT_173716	Lottia gigantea (Giant owl limpet)	945	integral component of membrane [GO:0016021]	GO:0016021	
XP_015767207.1		A0A0A8K7N3	A0A0A8K7N3_ACRDI	unreviewed	Retinal homeobox protein	AdiRx	Acropora digitifera (Staghorn coral)	262	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]; transcription by RNA polymerase II [GO:0006366]	GO:0003700; GO:0005634; GO:0006366; GO:0007275; GO:0043565	
XP_025049720.1		A0A3Q0FU96	A0A3Q0FU96_ALLSI	unreviewed	Endonuclease (EC 2.7.7.49) (Reverse transcriptase)	LOC102387565	Alligator sinensis (Chinese alligator)	894	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
XP_001622771.1		A7T040	A7T040_NEMVE	unreviewed	Predicted protein	v1g220269	Nematostella vectensis (Starlet sea anemone)	293	nucleus [GO:0005634]; cysteine-type peptidase activity [GO:0008234]; protein desumoylation [GO:0016926]	GO:0005634; GO:0008234; GO:0016926	
XP_001630864.1		A7SBX0	A7SBX0_NEMVE	unreviewed	Predicted protein	v1g244204	Nematostella vectensis (Starlet sea anemone)	388			
XP_015757116.1		A0A1S7IWG9	A0A1S7IWG9_ACRDI	unreviewed	Fluorescent protein	M LWE	Acropora digitifera (Staghorn coral)	231	bioluminescence [GO:0008218]	GO:0008218	
XP_013412708.1		A0A1S3JQP2	A0A1S3JQP2_LINUN	unreviewed	uncharacterized protein LOC106175311	LOC106175311	Lingula unguis	324			
XP_015749226.1		A0A1B4Z102	A0A1B4Z102_ACRDI	unreviewed	Ets domain lacking	edl	Acropora digitifera (Staghorn coral)	179	host cell nucleus [GO:0042025]; sequence-specific DNA binding [GO:0043565]	GO:0042025; GO:0043565	K20232;
XP_001624022.1		A7SWK0	A7SWK0_NEMVE	unreviewed	Predicted protein	v1g218593	Nematostella vectensis (Starlet sea anemone)	110	precatalytic spliceosome [GO:0071011]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0005686; GO:0005689; GO:0071011	
WP_071356481.1		A0A1S2R3T1	A0A1S2R3T1_9BACI	unreviewed	Uncharacterized protein	BIV60_14725	Bacillus sp. MUM 116	186			
XP_015766683.1		A0A0A8K8T5	A0A0A8K8T5_ACRDI	unreviewed	Forkhead box N1/4 protein	4 AdiFoxN1	Acropora digitifera (Staghorn coral)	406	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	K09407;
XP_002588122.1		C3ZTM6	C3ZTM6_BRAFL	unreviewed	Condensin complex subunit 2	BRAFLDRAFT_124950	Branchiostoma floridae (Florida lancelet) (Amphioxus)	1257	nuclear condensin complex [GO:0000799]; chromatin binding [GO:0003682]; DNA topoisomerase binding [GO:0044547]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activator activity [GO:0072587]; zinc ion binding [GO:0008270]; mitotic chromosome condensation [GO:0007076]	GO:0000799; GO:0003682; GO:0007076; GO:0008270; GO:0044547; GO:0072587	K06676;
XP_002592815.1		C3ZDM0	C3ZDM0_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_117723	Branchiostoma floridae (Florida lancelet) (Amphioxus)	342			
XP_015754838.1		A0A1B4Z141	A0A1B4Z141_ACRDI	unreviewed	Anthozoan specific Sox transcription factor 2	antSox2	Acropora digitifera (Staghorn coral)	242	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634	K09267;
XP_015778754.1		A0A0A8K8R9	A0A0A8K8R9_ACRDI	unreviewed	Orthodenticle homeobox B protein	AdiOtxB	Acropora digitifera (Staghorn coral)	230	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0043565	
XP_002110118.1		B3RQ31	B3RQ31_TRIAD	unreviewed	Tubulin beta chain	TRIADDRAFT_63686	Trichoplax adhaerens (Trichoplax reptans)	447	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]	GO:0000226; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	K07375;
XP_015753775.1		A0A0A8K7S9	A0A0A8K7S9_ACRDI	unreviewed	Forkhead box L1/G-like 2 protein	AdiFoxL1 G-like 2	Acropora digitifera (Staghorn coral)	387	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	K09396;
XP_014044267.1		A0A1S3QX89	A0A1S3QX89_SALSA	unreviewed	uncharacterized protein LOC106597630	LOC106597630	Salmo salar (Atlantic salmon)	478			
XP_015758203.1		A0A0A8K836	A0A0A8K836_ACRDI	unreviewed	Aristaless-like homeobox protein	AdiAlx	Acropora digitifera (Staghorn coral)	346	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; multicellular organism development [GO:0007275]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0007275; GO:0043565	K09323;
XP_015755348.1		A0A0A8K7M1	A0A0A8K7M1_ACRDI	unreviewed	Transforming growth factor 3 protein	AdiTgf3	Acropora digitifera (Staghorn coral)	382	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	GO:0005576; GO:0008083	K16622;
XP_015773585.1		A0A0A8K7P1	A0A0A8K7P1_ACRDI	unreviewed	Forkhead box D/E protein	AdiFoxD E	Acropora digitifera (Staghorn coral)	286	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	K09397;
XP_001632153.1		A7S8E7	A7S8E7_NEMVE	unreviewed	Predicted protein	v1g208380	Nematostella vectensis (Starlet sea anemone)	366			
NP_001087310.1		Q66KW1	Q66KW1_XENLA	unreviewed	60S ribosomal protein L29	rpl29.S MGC85384 rpl29 XELAEV_18025823mg	Xenopus laevis (African clawed frog)	75	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	K02905;
XP_002600867.1		C3YRX4	C3YRX4_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_75845	Branchiostoma floridae (Florida lancelet) (Amphioxus)	324			
XP_015763398.1		A0A0A8K840	A0A0A8K840_ACRDI	unreviewed	Unc-4.1 homeobox protein	AdiUnc4.1	Acropora digitifera (Staghorn coral)	360	nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	GO:0005634; GO:0006355; GO:0043565	
XP_019861705.1		A0A1X7T271	A0A1X7T271_AMPQE	unreviewed	Integrase catalytic domain-containing protein	100632687	Amphimedon queenslandica (Sponge)	394	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
XP_013421627.1		A0A1S3KGL2	A0A1S3KGL2_LINUN	unreviewed	52 kDa repressor of the inhibitor of the protein kinase-like	LOC106181709	Lingula unguis	831	kinase activity [GO:0016301]; protein dimerization activity [GO:0046983]	GO:0016301; GO:0046983	
XP_013411770.1		A0A1S3JN34	A0A1S3JN34_LINUN	unreviewed	uncharacterized protein LOC106174656	LOC106174656	Lingula unguis	523			
XP_002588251.1		C3ZT56	C3ZT56_BRAFL	unreviewed	C2H2-type domain-containing protein	BRAFLDRAFT_124704	Branchiostoma floridae (Florida lancelet) (Amphioxus)	542			
XP_013384075.1		A0A1S3HDH9	A0A1S3HDH9_LINUN	unreviewed	uncharacterized protein LOC106154306	LOC106154306	Lingula unguis	536			
XP_011675051.1		W4Z7P2	W4Z7P2_STRPU	unreviewed	RNA-directed DNA polymerase (EC 2.7.7.49)		Strongylocentrotus purpuratus (Purple sea urchin)	265			
XP_023933297.1		A0A2R2MTF1	A0A2R2MTF1_LINUN	unreviewed	uncharacterized protein LOC106175327	LOC106175327	Lingula unguis	907			
XP_002597867.1		C3Z0X5	C3Z0X5_BRAFL	unreviewed	C2H2-type domain-containing protein	BRAFLDRAFT_105474	Branchiostoma floridae (Florida lancelet) (Amphioxus)	884			
XP_002586464.1		C3ZYA2	C3ZYA2_BRAFL	unreviewed	Uncharacterized protein	BRAFLDRAFT_106666	Branchiostoma floridae (Florida lancelet) (Amphioxus)	276			
XP_009055333.1		V4BX92	V4BX92_LOTGI	unreviewed	Uncharacterized protein	LOTGIDRAFT_153154	Lottia gigantea (Giant owl limpet)	595			
XP_004348926.1		A0A0D2VLG4	A0A0D2VLG4_CAPO3	unreviewed	Ras-like protein Rab-11B	CAOG_002176	Capsaspora owczarzaki (strain ATCC 30864)	216	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	GO:0003924; GO:0005525	
XP_013077324.1		A0A2C9LL81	A0A2C9LL81_BIOGL	unreviewed	Uncharacterized protein	106063481	Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail)	678			
XP_002613665.1		C3XQK8	C3XQK8_BRAFL	unreviewed	Endo/exonuclease/phosphatase domain-containing protein (Fragment)	BRAFLDRAFT_168604	Branchiostoma floridae (Florida lancelet) (Amphioxus)	253			
XP_015771553.1		A0A1B4Z0Z7	A0A1B4Z0Z7_ACRDI	unreviewed	Hydra_znf845-like transcription factor	znf845	Acropora digitifera (Staghorn coral)	330			
XP_003644227.1		G8JMQ5	G8JMQ5_ERECY	unreviewed	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)	PIF1 Ecym_1159	Eremothecium cymbalariae (strain CBS 270.75 / DBVPG 7215 / KCTC 17166 / NRRL Y-17582) (Yeast)	884	mitochondrial membrane [GO:0031966]; nuclear replication fork [GO:0043596]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; G-quadruplex DNA binding [GO:0051880]; single-stranded DNA binding [GO:0003697]; telomerase inhibitor activity [GO:0010521]; DNA strand renaturation [GO:0000733]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]; G-quadruplex DNA unwinding [GO:0044806]; mitochondrial genome maintenance [GO:0000002]; ncRNA transcription [GO:0098781]; negative regulation of telomere maintenance via telomerase [GO:0032211]; replication fork reversal [GO:0071932]; telomere maintenance via recombination [GO:0000722]	GO:0000002; GO:0000722; GO:0000727; GO:0000733; GO:0003697; GO:0005524; GO:0006268; GO:0010521; GO:0031966; GO:0032211; GO:0043139; GO:0043596; GO:0044806; GO:0051880; GO:0071932; GO:0098781	K15255;
XP_001634030.1		A7S2X7	A7S2X7_NEMVE	unreviewed	Predicted protein	v1g242472	Nematostella vectensis (Starlet sea anemone)	282			
XP_019853393.1		A0A1X7UMU9	A0A1X7UMU9_AMPQE	unreviewed	RNA_helicase domain-containing protein	109582842	Amphimedon queenslandica (Sponge)	417	RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003723; GO:0003724	
XP_002118403.1		B3SDT8	B3SDT8_TRIAD	unreviewed	Predicted protein	TRIADDRAFT_62445	Trichoplax adhaerens (Trichoplax reptans)	367			
