yourlist:M20200824A94466D2655679D1FD8953E075198DA850B510E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs	Cross-reference (KO)
PFX18165.1	A0A2B4RPH8	A0A2B4RPH8_STYPI	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	Ret AWC38_SpisGene17489	Stylophora pistillata (Smooth cauliflower coral)	2365	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	GO:0004714; GO:0005524; GO:0016021	
PFX26321.1	A0A2B4S8V0	A0A2B4S8V0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9011	Stylophora pistillata (Smooth cauliflower coral)	304			
HAN73253.1	A0A3C1P802	A0A3C1P802_9CYAN	unreviewed	Uncharacterized protein	DCQ63_02380	Planktothrix sp. UBA8402	366	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX18023.1	A0A2B4RMH6	A0A2B4RMH6_STYPI	unreviewed	Endonuclease (Reverse transcriptase)	K02A2.6 AWC38_SpisGene17618	Stylophora pistillata (Smooth cauliflower coral)	2144	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX31891.1	A0A2B4SPQ5	A0A2B4SPQ5_STYPI	unreviewed	Uncharacterized protein K02A2.6	K02A2.6 AWC38_SpisGene3286	Stylophora pistillata (Smooth cauliflower coral)	458			
EDO27610.1	A7T8S5	A7T8S5_NEMVE	unreviewed	Predicted protein	v1g223908	Nematostella vectensis (Starlet sea anemone)	290			
ANZ54962.1	A0A1B2INM2	A0A1B2INM2_EUPAN	unreviewed	Nanos 1		Euphyllia ancora (Hammer coral)	223	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; regulation of translation [GO:0006417]	GO:0003723; GO:0006417; GO:0008270	
RMX42508.1	A0A3M6TMG4	A0A3M6TMG4_9CNID	unreviewed	Uncharacterized protein	pdam_00022263	Pocillopora damicornis	164			
PFX34445.1	A0A2B4T1E6	A0A2B4T1E6_STYPI	unreviewed	DUF5641 domain-containing protein	AWC38_SpisGene692	Stylophora pistillata (Smooth cauliflower coral)	1516	nucleic acid binding [GO:0003676]	GO:0003676	
PFX23195.1	A0A2B4S401	A0A2B4S401_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12282	Stylophora pistillata (Smooth cauliflower coral)	266			
RMX59114.1	A0A3M6V019	A0A3M6V019_9CNID	unreviewed	Uncharacterized protein	pdam_00009771	Pocillopora damicornis	409	integral component of membrane [GO:0016021]	GO:0016021	
RMX52762.1	A0A3M6UGJ1	A0A3M6UGJ1_9CNID	unreviewed	Death domain-containing protein	pdam_00014227	Pocillopora damicornis	104	signal transduction [GO:0007165]	GO:0007165	
RMX44024.1	A0A3M6TRZ5	A0A3M6TRZ5_9CNID	unreviewed	HECT domain-containing protein	pdam_00022981	Pocillopora damicornis	620	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
PFX31960.1	A0A2B4SST5	A0A2B4SST5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene3204	Stylophora pistillata (Smooth cauliflower coral)	200			
PFX25640.1	A0A2B4SA07	A0A2B4SA07_STYPI	unreviewed	LINE-1 retrotransposable element ORF2 protein	AWC38_SpisGene9726	Stylophora pistillata (Smooth cauliflower coral)	802			
RMX39373.1	A0A3M6TDC4	A0A3M6TDC4_9CNID	unreviewed	Uncharacterized protein	pdam_00005984	Pocillopora damicornis	428	integral component of membrane [GO:0016021]	GO:0016021	
PFX30862.1	A0A2B4SQQ6	A0A2B4SQQ6_STYPI	unreviewed	Tropomyosin alpha-1 chain	TPM1 AWC38_SpisGene4377	Stylophora pistillata (Smooth cauliflower coral)	404	integral component of membrane [GO:0016021]	GO:0016021	
RMX40277.1	A0A3M6TFV0	A0A3M6TFV0_9CNID	unreviewed	60S ribosomal protein L21	pdam_00008684	Pocillopora damicornis	215	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	GO:0003735; GO:0005840; GO:0006412	
PFX34920.1	A0A2B4T1A0	A0A2B4T1A0_STYPI	unreviewed	C2H2-type domain-containing protein	AWC38_SpisGene58	Stylophora pistillata (Smooth cauliflower coral)	771			
RMX45167.1	A0A3M6TUS7	A0A3M6TUS7_9CNID	unreviewed	Uncharacterized protein	pdam_00024788	Pocillopora damicornis	327			
KOB68885.1	A0A0L7L0E5	A0A0L7L0E5_9NEOP	unreviewed	Uncharacterized protein	OBRU01_17663	Operophtera brumata (winter moth)	178			
PFX24695.1	A0A2B4S896	A0A2B4S896_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene10691	Stylophora pistillata (Smooth cauliflower coral)	1271	integral component of membrane [GO:0016021]	GO:0016021	
RMX58884.1	A0A3M6UZC7	A0A3M6UZC7_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00016332	Pocillopora damicornis	459			
RMX55182.1	A0A3M6UNH4	A0A3M6UNH4_9CNID	unreviewed	Small nuclear ribonucleoprotein Sm D1 (snRNP core protein D1)	pdam_00014056	Pocillopora damicornis	138	nucleus [GO:0005634]; spliceosomal snRNP assembly [GO:0000387]	GO:0000387; GO:0005634	
PFX22806.1	A0A2B4S066	A0A2B4S066_STYPI	unreviewed	Oncoprotein-induced transcript 3 protein	OIT3 AWC38_SpisGene12644	Stylophora pistillata (Smooth cauliflower coral)	719	integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]	GO:0005509; GO:0016021; GO:0030246	
PFX22387.1	A0A2B4S1E6	A0A2B4S1E6_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene13095	Stylophora pistillata (Smooth cauliflower coral)	787	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX20430.1	A0A2B4RV51	A0A2B4RV51_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene15119	Stylophora pistillata (Smooth cauliflower coral)	471	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
PFX15318.1	A0A2B4RG17	A0A2B4RG17_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon gypsy (Fragment)	pol AWC38_SpisGene20461	Stylophora pistillata (Smooth cauliflower coral)	912	nucleus [GO:0005634]; nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]; transcription, DNA-templated [GO:0006351]	GO:0003676; GO:0005634; GO:0006351; GO:0015074	
PFX32616.1	A0A2B4STE8	A0A2B4STE8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene2552	Stylophora pistillata (Smooth cauliflower coral)	259			
PFX26210.1	A0A2B4SBL1	A0A2B4SBL1_STYPI	unreviewed	Uncharacterized protein (Fragment)	AWC38_SpisGene9089	Stylophora pistillata (Smooth cauliflower coral)	600			
PFX24620.1	A0A2B4S732	A0A2B4S732_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene10775	Stylophora pistillata (Smooth cauliflower coral)	412			
PFX12167.1	A0A2B4R726	A0A2B4R726_STYPI	unreviewed	Uncharacterized protein (Fragment)	AWC38_SpisGene23914	Stylophora pistillata (Smooth cauliflower coral)	985			
RMX46927.1	A0A3M6TZY8	A0A3M6TZY8_9CNID	unreviewed	Uncharacterized protein	pdam_00022107	Pocillopora damicornis	156			
PFX15605.1	A0A2B4RH62	A0A2B4RH62_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20173	Stylophora pistillata (Smooth cauliflower coral)	308			
PFX19590.1	A0A2B4RSR4	A0A2B4RSR4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene15987	Stylophora pistillata (Smooth cauliflower coral)	529			
RMX44097.1	A0A3M6TRN4	A0A3M6TRN4_9CNID	unreviewed	DUF4371 domain-containing protein	pdam_00002466	Pocillopora damicornis	481			
RMX60850.1	A0A3M6V4S4	A0A3M6V4S4_9CNID	unreviewed	Uncharacterized protein	pdam_00007754	Pocillopora damicornis	183			
PFX21932.1	A0A2B4S0A0	A0A2B4S0A0_STYPI	unreviewed	Zinc finger MYM-type protein 1	ZMYM1 AWC38_SpisGene13564	Stylophora pistillata (Smooth cauliflower coral)	681	protein dimerization activity [GO:0046983]	GO:0046983	
PFX23457.1	A0A2B4S4D2	A0A2B4S4D2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene12015	Stylophora pistillata (Smooth cauliflower coral)	645			
RMX54904.1	A0A3M6UMZ6	A0A3M6UMZ6_9CNID	unreviewed	Uncharacterized protein	pdam_00015084	Pocillopora damicornis	78			
RMX48655.1	A0A3M6U4N6	A0A3M6U4N6_9CNID	unreviewed	Uncharacterized protein	pdam_00018603	Pocillopora damicornis	70			
RMX45960.1	A0A3M6TX57	A0A3M6TX57_9CNID	unreviewed	BEN domain-containing protein	pdam_00020984	Pocillopora damicornis	608	nuclear heterochromatin [GO:0005720]; DNA binding [GO:0003677]; rDNA heterochromatin assembly [GO:0000183]	GO:0000183; GO:0003677; GO:0005720	
PFX15487.1	A0A2B4RGL2	A0A2B4RGL2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20293	Stylophora pistillata (Smooth cauliflower coral)	441			
RMX58154.1	A0A3M6UX98	A0A3M6UX98_9CNID	unreviewed	Uncharacterized protein	pdam_00000049	Pocillopora damicornis	111			
RMX52194.1	A0A3M6UFB3	A0A3M6UFB3_9CNID	unreviewed	Uncharacterized protein	pdam_00024086	Pocillopora damicornis	196			
RMX38625.1	A0A3M6TB60	A0A3M6TB60_9CNID	unreviewed	C2H2-type domain-containing protein (Fragment)	pdam_00025664	Pocillopora damicornis	216			
VZI42822.1	A0A654I0D7	A0A654I0D7_9CEST	unreviewed	Endonuclease (EC 2.7.7.49) (Reverse transcriptase)	SPRV2_LOCUS19522	Sparganum proliferum	811	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX23054.1	A0A2B4RX67	A0A2B4RX67_STYPI	unreviewed	THAP domain-containing protein 11	thap11 AWC38_SpisGene12411	Stylophora pistillata (Smooth cauliflower coral)	514	DNA binding [GO:0003677]	GO:0003677	
PFX14023.1	A0A2B4RB30	A0A2B4RB30_STYPI	unreviewed	Exonuclease domain-containing protein	AWC38_SpisGene21851	Stylophora pistillata (Smooth cauliflower coral)	545	nucleic acid binding [GO:0003676]	GO:0003676	
RMX47573.1	A0A3M6U1L5	A0A3M6U1L5_9CNID	unreviewed	THAP-type domain-containing protein (Fragment)	pdam_00025753	Pocillopora damicornis	259	DNA binding [GO:0003677]	GO:0003677	
PFX34520.1	A0A2B4T072	A0A2B4T072_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene441	Stylophora pistillata (Smooth cauliflower coral)	155			
PFX11737.1	A0A2B4R5U6	A0A2B4R5U6_STYPI	unreviewed	Zinc finger MYM-type protein 2 (Fragment)	ZMYM2 AWC38_SpisGene24428	Stylophora pistillata (Smooth cauliflower coral)	352			
PFX23934.1	A0A2B4RZQ2	A0A2B4RZQ2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene11474	Stylophora pistillata (Smooth cauliflower coral)	641	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	
PFX31824.1	A0A2B4SMA2	A0A2B4SMA2_STYPI	unreviewed	Forkhead box protein B1	FOXB1 AWC38_SpisGene3349	Stylophora pistillata (Smooth cauliflower coral)	817	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0043565	
PFX14182.1	A0A2B4RD60	A0A2B4RD60_STYPI	unreviewed	RNA-directed DNA polymerase from mobile element jockey	pol AWC38_SpisGene21689	Stylophora pistillata (Smooth cauliflower coral)	524	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
VZI43660.1	A0A654I100	A0A654I100_9CEST	unreviewed	Uncharacterized protein	SPRV2_LOCUS19857	Sparganum proliferum	338			
RMX45032.1	A0A3M6TUE2	A0A3M6TUE2_9CNID	unreviewed	Uncharacterized protein	pdam_00011471	Pocillopora damicornis	318			
RMX59312.1	A0A3M6V094	A0A3M6V094_9CNID	unreviewed	Uncharacterized protein	pdam_00011890	Pocillopora damicornis	134	regulation of apoptotic process [GO:0042981]	GO:0042981	
RMX50518.1	A0A3M6UAJ9	A0A3M6UAJ9_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00024183	Pocillopora damicornis	174			
EDO32969.1	A7STJ9	A7STJ9_NEMVE	unreviewed	Predicted protein	v1g217275	Nematostella vectensis (Starlet sea anemone)	170			
PFX23999.1	A0A2B4S4M2	A0A2B4S4M2_STYPI	unreviewed	Ig-like domain-containing protein	AWC38_SpisGene11456	Stylophora pistillata (Smooth cauliflower coral)	472			
SHE21743.1	A0A482YR43	A0A482YR43_9BACT	unreviewed	Reverse transcriptase domain-containing protein	BBROOKSOX_1467	Bathymodiolus brooksi thiotrophic gill symbiont	859			
PFX21109.1	A0A2B4RWA8	A0A2B4RWA8_STYPI	unreviewed	F-box/LRR-repeat protein 7	FBXL7 AWC38_SpisGene14416	Stylophora pistillata (Smooth cauliflower coral)	1197			
RMX58540.1	A0A3M6UY51	A0A3M6UY51_9CNID	unreviewed	Vertnin (Fragment)	pdam_00023292	Pocillopora damicornis	375			
RMX59870.1	A0A3M6V1V6	A0A3M6V1V6_9CNID	unreviewed	Uncharacterized protein	pdam_00023485	Pocillopora damicornis	178			
PFX20358.1	A0A2B4RVL5	A0A2B4RVL5_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene15202	Stylophora pistillata (Smooth cauliflower coral)	88			
PFX12747.1	A0A2B4R8Q7	A0A2B4R8Q7_STYPI	unreviewed	G-protein coupled receptor GRL101 (Fragment)	AWC38_SpisGene23246	Stylophora pistillata (Smooth cauliflower coral)	1017	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0016021	
ATV93524.1	A0A2H4NNK6	A0A2H4NNK6_ACRMI	unreviewed	Omega-3 desaturase-like B		Acropora millepora (Staghorn coral) (Heteropora millepora)	367	integral component of membrane [GO:0016021]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]; lipid metabolic process [GO:0006629]	GO:0006629; GO:0016021; GO:0016717	
PFX27543.1	A0A2B4SER7	A0A2B4SER7_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene7776	Stylophora pistillata (Smooth cauliflower coral)	595			
RMX51010.1	A0A3M6UBH0	A0A3M6UBH0_9CNID	unreviewed	OTU domain-containing protein	pdam_00013925	Pocillopora damicornis	449			
RMX47325.1	A0A3M6U0U9	A0A3M6U0U9_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00021015	Pocillopora damicornis	229			
PFX21590.1	A0A2B4RYG0	A0A2B4RYG0_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13915	Stylophora pistillata (Smooth cauliflower coral)	510			
PFX14705.1	A0A2B4REJ3	A0A2B4REJ3_STYPI	unreviewed	S-antigen protein	AWC38_SpisGene21118	Stylophora pistillata (Smooth cauliflower coral)	1947	DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]; positive regulation of transcription from RNA polymerase II promoter in response to calcium ion [GO:0061400]	GO:0003700; GO:0008270; GO:0061400	
PFX13259.1	A0A2B4R8W5	A0A2B4R8W5_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene22673	Stylophora pistillata (Smooth cauliflower coral)	239	sequence-specific DNA binding [GO:0043565]	GO:0043565	
RXN04113.1	A0A498L9R9	A0A498L9R9_LABRO	unreviewed	Sec1 family domain-containing 2-like protein	ROHU_005885 ROHU_034114	Labeo rohita (Indian major carp) (Cyprinus rohita)	303	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX22791.1	A0A2B4RYT1	A0A2B4RYT1_STYPI	unreviewed	Putative RNA-directed DNA polymerase from transposon BS	RTase AWC38_SpisGene12685	Stylophora pistillata (Smooth cauliflower coral)	549	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	
PFX12032.1	A0A2B4R724	A0A2B4R724_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene24067	Stylophora pistillata (Smooth cauliflower coral)	427			
RMX55039.1	A0A3M6UN62	A0A3M6UN62_9CNID	unreviewed	Uncharacterized protein	pdam_00007247	Pocillopora damicornis	139			
PFX20363.1	A0A2B4RUA3	A0A2B4RUA3_STYPI	unreviewed	RT_RNaseH_2 domain-containing protein	AWC38_SpisGene15194	Stylophora pistillata (Smooth cauliflower coral)	639			
PFX27277.1	A0A2B4SFD6	A0A2B4SFD6_STYPI	unreviewed	Transposon Tf2-9 polyprotein	Tf2-9 AWC38_SpisGene8030	Stylophora pistillata (Smooth cauliflower coral)	796	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
RMX41844.1	A0A3M6TKS1	A0A3M6TKS1_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00023772	Pocillopora damicornis	177			
RMX55243.1	A0A3M6UNH3	A0A3M6UNH3_9CNID	unreviewed	Uncharacterized protein	pdam_00021794	Pocillopora damicornis	537			
RMX52541.1	A0A3M6UFU1	A0A3M6UFU1_9CNID	unreviewed	Uncharacterized protein	pdam_00020801	Pocillopora damicornis	149			
PFX12870.1	A0A2B4R8P4	A0A2B4R8P4_STYPI	unreviewed	Protein sidekick-2	SDK2 AWC38_SpisGene23102	Stylophora pistillata (Smooth cauliflower coral)	1641	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]	GO:0005524; GO:0016021	
PFX15097.1	A0A2B4RFH5	A0A2B4RFH5_STYPI	unreviewed	THAP domain-containing protein 3	THAP3 AWC38_SpisGene20697	Stylophora pistillata (Smooth cauliflower coral)	703	DNA binding [GO:0003677]	GO:0003677	
RUA05257.1	A0A432I4R5	A0A432I4R5_9GAMM	unreviewed	Uncharacterized protein	DSY43_04965	Gammaproteobacteria bacterium	142			
PFX18132.1	A0A2B4RPG2	A0A2B4RPG2_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene17501	Stylophora pistillata (Smooth cauliflower coral)	144			
PFX12583.1	A0A2B4R6Z3	A0A2B4R6Z3_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23431	Stylophora pistillata (Smooth cauliflower coral)	213			
PFX17757.1	A0A2B4RN42	A0A2B4RN42_STYPI	unreviewed	Carboxypeptidase N subunit 2	CPN2 AWC38_SpisGene17904	Stylophora pistillata (Smooth cauliflower coral)	616	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; carboxypeptidase activity [GO:0004180]; methyltransferase activity [GO:0008168]	GO:0004180; GO:0008168; GO:0016706	
RMX60430.1	A0A3M6V3J5	A0A3M6V3J5_9CNID	unreviewed	Uncharacterized protein	pdam_00017760	Pocillopora damicornis	206			
RMX43940.1	A0A3M6TRD7	A0A3M6TRD7_9CNID	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-)	pdam_00022343	Pocillopora damicornis	280	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; sulfotransferase activity [GO:0008146]; carbohydrate biosynthetic process [GO:0016051]	GO:0000139; GO:0008146; GO:0016021; GO:0016051	
PFX34355.1	A0A2B4T158	A0A2B4T158_STYPI	unreviewed	Protein lin-37-like	Lin37 AWC38_SpisGene835	Stylophora pistillata (Smooth cauliflower coral)	423	integral component of membrane [GO:0016021]; transcription repressor complex [GO:0017053]	GO:0016021; GO:0017053	
EDO32245.1	A7SVM1	A7SVM1_NEMVE	unreviewed	Predicted protein	v1g218164	Nematostella vectensis (Starlet sea anemone)	505			
RMX44409.1	A0A3M6TSW0	A0A3M6TSW0_9CNID	unreviewed	Uncharacterized protein	pdam_00011181	Pocillopora damicornis	275			
PFX22384.1	A0A2B4RVB8	A0A2B4RVB8_STYPI	unreviewed	Retrovirus-related Pol polyprotein from transposon 17.6	pol AWC38_SpisGene13098	Stylophora pistillata (Smooth cauliflower coral)	446	aspartic-type endopeptidase activity [GO:0004190]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0004190; GO:0008270	
PFX14321.1	A0A2B4R9K3	A0A2B4R9K3_STYPI	unreviewed	Reverse transcriptase domain-containing protein	AWC38_SpisGene21529	Stylophora pistillata (Smooth cauliflower coral)	1505	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	GO:0003677; GO:0006310; GO:0015074	
PFX23920.1	A0A2B4S540	A0A2B4S540_STYPI	unreviewed	Pro-Pol polyprotein	pol AWC38_SpisGene11517	Stylophora pistillata (Smooth cauliflower coral)	1586	nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]	GO:0003676; GO:0015074	
PFX15352.1	A0A2B4RGH6	A0A2B4RGH6_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene20432	Stylophora pistillata (Smooth cauliflower coral)	283			
PFX12236.1	A0A2B4R4Z8	A0A2B4R4Z8_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene23839	Stylophora pistillata (Smooth cauliflower coral)	548	DNA binding [GO:0003677]	GO:0003677	
RMX54112.1	A0A3M6UKF7	A0A3M6UKF7_9CNID	unreviewed	Uncharacterized protein (Fragment)	pdam_00025226	Pocillopora damicornis	371			
RMX51146.1	A0A3M6UC66	A0A3M6UC66_9CNID	unreviewed	TBC1 domain family member 31 (WD repeat-containing protein 67)	pdam_00015803	Pocillopora damicornis	2132	integral component of plasma membrane [GO:0005887]; potassium:chloride symporter activity [GO:0015379]; cellular hypotonic salinity response [GO:0071477]	GO:0005887; GO:0015379; GO:0071477	
RMX41853.1	A0A3M6TK85	A0A3M6TK85_9CNID	unreviewed	Uncharacterized protein	pdam_00023767	Pocillopora damicornis	207			
RMX50168.1	A0A3M6U9M8	A0A3M6U9M8_9CNID	unreviewed	Uncharacterized protein	pdam_00004823	Pocillopora damicornis	629			
RMX45966.1	A0A3M6TX65	A0A3M6TX65_9CNID	unreviewed	CN hydrolase domain-containing protein	pdam_00024019	Pocillopora damicornis	483	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; nitrogen compound metabolic process [GO:0006807]	GO:0006807; GO:0016811	
PFX12662.1	A0A2B4R8W4	A0A2B4R8W4_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23338	Stylophora pistillata (Smooth cauliflower coral)	826			
RMX46127.1	A0A3M6TXK0	A0A3M6TXK0_9CNID	unreviewed	Uncharacterized protein	pdam_00020840	Pocillopora damicornis	154			
RMX37035.1	A0A3M6T6I1	A0A3M6T6I1_9CNID	unreviewed	CRC domain-containing protein	pdam_00025606	Pocillopora damicornis	202			
RMX39601.1	A0A3M6TE44	A0A3M6TE44_9CNID	unreviewed	Uncharacterized protein	pdam_00004024	Pocillopora damicornis	3970			
PFX26967.1	A0A2B4SEI0	A0A2B4SEI0_STYPI	unreviewed	Dimer_Tnp_hAT domain-containing protein	AWC38_SpisGene8365	Stylophora pistillata (Smooth cauliflower coral)	349	protein dimerization activity [GO:0046983]	GO:0046983	
PFX23967.1	A0A2B4S5T8	A0A2B4S5T8_STYPI	unreviewed	TyrKc domain-containing protein	AWC38_SpisGene11470	Stylophora pistillata (Smooth cauliflower coral)	435	ATP binding [GO:0005524]; protein tyrosine kinase activity [GO:0004713]	GO:0004713; GO:0005524	
PFX22327.1	A0A2B4S184	A0A2B4S184_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene13168	Stylophora pistillata (Smooth cauliflower coral)	672			
PFX25885.1	A0A2B4SBQ8	A0A2B4SBQ8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene9427	Stylophora pistillata (Smooth cauliflower coral)	290			
RMX60746.1	A0A3M6V482	A0A3M6V482_9CNID	unreviewed	DNA-directed RNA polymerases I, II, and III subunit RPABC5	pdam_00014294	Pocillopora damicornis	67	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	GO:0003677; GO:0003899; GO:0006351; GO:0008270	
RUS76136.1	A0A3S1AZH6	A0A3S1AZH6_ELYCH	unreviewed	Reverse transcriptase domain-containing protein	EGW08_016106	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	382			
PFX21005.1	A0A2B4RXM8	A0A2B4RXM8_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene14530	Stylophora pistillata (Smooth cauliflower coral)	537			
PFX13361.1	A0A2B4R6V7	A0A2B4R6V7_STYPI	unreviewed	Pogo transposable element with KRAB domain	POGK AWC38_SpisGene22556	Stylophora pistillata (Smooth cauliflower coral)	535	DNA binding [GO:0003677]	GO:0003677	
PFX34329.1	A0A2B4SYT1	A0A2B4SYT1_STYPI	unreviewed	Methionine adenosyltransferase 2 subunit beta	mat2b AWC38_SpisGene746	Stylophora pistillata (Smooth cauliflower coral)	776	transferase activity [GO:0016740]	GO:0016740	
RMX44380.1	A0A3M6TSL4	A0A3M6TSL4_9CNID	unreviewed	Uncharacterized protein	pdam_00011223	Pocillopora damicornis	118			
RMX37645.1	A0A3M6T896	A0A3M6T896_9CNID	unreviewed	Uncharacterized protein	pdam_00004317	Pocillopora damicornis	143			
PIK47622.1	A0A2G8KI03	A0A2G8KI03_STIJA	unreviewed	Endonuclease-reverse transcriptase	BSL78_15515	Stichopus japonicus (Sea cucumber)	209	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004519	
RUP50410.1	A0A433DHT3	A0A433DHT3_9FUNG	unreviewed	VLIG-type G domain-containing protein (Fragment)	BC936DRAFT_139201	Jimgerdemannia flammicorona	2497	GTP binding [GO:0005525]	GO:0005525	
PFX31752.1	A0A2B4ST64	A0A2B4ST64_STYPI	unreviewed	Ankyrin repeat and FYVE domain-containing protein 1	ANKFY1 AWC38_SpisGene3441	Stylophora pistillata (Smooth cauliflower coral)	1339	metal ion binding [GO:0046872]	GO:0046872	
EDO26348.1	A7TC88	A7TC88_NEMVE	unreviewed	Predicted protein (Fragment)	v1g225134	Nematostella vectensis (Starlet sea anemone)	369			
RUA07033.1	A0A432IAE6	A0A432IAE6_9GAMM	unreviewed	YqaJ domain-containing protein	DSY43_00695	Gammaproteobacteria bacterium	430			
PFX26902.1	A0A2B4SED7	A0A2B4SED7_STYPI	unreviewed	Metabotropic glutamate receptor 4	Grm4 AWC38_SpisGene8444	Stylophora pistillata (Smooth cauliflower coral)	790	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886; GO:0016021	
PFX28859.1	A0A2B4SIB7	A0A2B4SIB7_STYPI	unreviewed	Tubulin polyglutamylase complex subunit 1	Tpgs1 AWC38_SpisGene6426	Stylophora pistillata (Smooth cauliflower coral)	215	protein polyglutamylation [GO:0018095]	GO:0018095	
PFX12673.1	A0A2B4R783	A0A2B4R783_STYPI	unreviewed	Uncharacterized protein	AWC38_SpisGene23326	Stylophora pistillata (Smooth cauliflower coral)	259			
PFX33993.1	A0A2B4SY07	A0A2B4SY07_STYPI	unreviewed	Profilin	2 AWC38_SpisGene1208	Stylophora pistillata (Smooth cauliflower coral)	559	actin binding [GO:0003779]	GO:0003779	
PIK62474.1	A0A2G8LQH2	A0A2G8LQH2_STIJA	unreviewed	Pol-like protein	BSL78_00571	Stichopus japonicus (Sea cucumber)	725			
